"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"serious_z","~","dig","a",0.0640284664021067,0.0350641639942561,1.82603715898076,0.0678446647779676,-0.00552006243213691,0.135318874300183
"serious_z","~","dig_x_stedu","amod",-0.00803530217364059,0.0460493622175379,-0.174493234796211,0.861477847061017,-0.101239543980448,0.0818029114794629
"serious_z","~","stedu","",0.363657662195534,0.0807805130058359,4.50179936551359,6.7380573467446e-06,0.203807030078785,0.521639120575128
"serious_z","~","female","",-0.00436547806531371,0.071762805415288,-0.0608320430068318,0.951492970939105,-0.140738763725602,0.134513643475174
"serious_z","~","intimate","",-0.0352790721338989,0.0711877725655658,-0.495577693506367,0.620192394020495,-0.182504696714788,0.10075673777847
"serious_z","~","severe_coharm","",0.544685304573809,0.071692622506987,7.59750843987784,3.01980662698043e-14,0.407080320657017,0.689575905588013
"serious_z","~","freq_ord_z","",0.140650885909172,0.0397299956422216,3.5401686719467,0.000399871379010763,0.0640852095192514,0.219711730945195
"serious_z","~","victim_blaming_z","",-0.0276450770397505,0.0430829478442921,-0.641670972461395,0.521086840379045,-0.111819437175616,0.0545792739108705
"serious_z","~","crime_denial_z","",0.0488504220928443,0.0451509242159494,1.08193626024577,0.279280851382093,-0.0396818570812355,0.138038265928597
"serious_z","~","fear_z","",0.0651806107147964,0.0362735723934535,1.79691732614017,0.0723487455881531,-0.00612578286216094,0.135662055891441
"institutional_response","~","serious_z","b",0.203341173520593,0.0246711358797787,8.24206775526935,2.22044604925031e-16,0.153636575819942,0.249921976232754
"institutional_response","~","dig","cprime",0.00778790788345116,0.0135118342547237,0.576376806926011,0.564360517593171,-0.0192303053910163,0.0335722334526843
"institutional_response","~","ser_x_stedu","bmod",0.0112652491273799,0.0299616052890178,0.375989504524614,0.706924698695876,-0.0472648739523615,0.0706723898800764
"institutional_response","~","dig_x_stedu","cmod",0.00227880080266811,0.0176255101640396,0.129289920204264,0.897128247003838,-0.0309595411854343,0.0382076145589914
"institutional_response","~","stedu","",0.0688217881377154,0.0386530968646342,1.78049868497559,0.0749943843468259,-0.00667896649439274,0.144978599058907
"institutional_response","~","female","",-0.0144866643946707,0.0315610862723769,-0.459003985783272,0.646231303847829,-0.0779326860232172,0.0468998540849281
"institutional_response","~","intimate","",-0.0195151066079813,0.0268860485310364,-0.725845100869087,0.467933734850795,-0.0740720480805057,0.0337709879621734
"institutional_response","~","severe_coharm","",0.0689936601957909,0.0321287535394748,2.14741166696748,0.0317605226420878,0.00684373260650321,0.131914818478695
"institutional_response","~","freq_ord_z","",-0.0109418693251728,0.0162108049156915,-0.674973845042168,0.499692382233879,-0.0427641406915244,0.0211475071002798
"institutional_response","~","victim_blaming_z","",-0.000505626016657383,0.0190503672912747,-0.0265415363875407,0.978825404010731,-0.0380398834704175,0.0367452705285782
"institutional_response","~","crime_denial_z","",-0.0221007011722885,0.0198938466301158,-1.11093151481484,0.266597829055291,-0.0618600507653212,0.0158109174433761
"institutional_response","~","fear_z","",0.00924481835687709,0.0141671792393444,0.65255180305779,0.514045265947123,-0.0183241542183633,0.0372139092993362
"serious_z","~~","serious_z","",0.774819231192841,0.0479464009011149,16.1601124720672,0,0.671931029017346,0.858920874184568
"institutional_response","~~","institutional_response","",0.128222538293662,0.00672166250830982,19.0760155147842,0,0.112539242865689,0.139304013842499
"dig","~~","dig","",2.72080798429949,0,NA,NA,2.72080798429949,2.72080798429949
"dig","~~","dig_x_stedu","",1.78282391653491,0,NA,NA,1.78282391653491,1.78282391653491
"dig","~~","stedu","",0.136402608908006,0,NA,NA,0.136402608908006,0.136402608908006
"dig","~~","female","",-0.0382566162983667,0,NA,NA,-0.0382566162983667,-0.0382566162983667
"dig","~~","intimate","",0.118384815713341,0,NA,NA,0.118384815713341,0.118384815713341
"dig","~~","severe_coharm","",0.260487949219342,0,NA,NA,0.260487949219342,0.260487949219342
"dig","~~","freq_ord_z","",0.565039870810008,0,NA,NA,0.565039870810008,0.565039870810008
"dig","~~","victim_blaming_z","",0.251328912047272,0,NA,NA,0.251328912047272,0.251328912047272
"dig","~~","crime_denial_z","",0.480550143004717,0,NA,NA,0.480550143004717,0.480550143004717
"dig","~~","fear_z","",0.223024304556706,0,NA,NA,0.223024304556706,0.223024304556706
"dig","~~","ser_x_stedu","",0.242331852498614,0,NA,NA,0.242331852498614,0.242331852498614
