"variable","type","class_i","class_j","diff","se","z","p_pair","p_fdr"
"age_num","continuous","Network_oriented_prevention","Escalation_aware_mixed",-0.457250911403946,2.22133317272282,-0.205845263114433,0.836911783378815,0.929901981532017
"age_num","continuous","Network_oriented_prevention","Life_threat_protective",-0.591356540693532,2.30293801880742,-0.256783524291186,0.797345889425919,0.929901981532017
"age_num","continuous","Escalation_aware_mixed","Life_threat_protective",-0.134105629289586,1.69457532337253,-0.0791381931743757,0.936922705001773,0.936922705001773
"age_num","continuous","Network_oriented_prevention","Boundary_clarification",-2.64575550694907,2.33145549367316,-1.13480849800857,0.256455564867839,0.658263114178204
"age_num","continuous","Escalation_aware_mixed","Boundary_clarification",-2.18850459554512,1.73313205702659,-1.26274543631705,0.206680679437841,0.658263114178204
"age_num","continuous","Life_threat_protective","Boundary_clarification",-2.05439896625553,1.83655906012387,-1.11861306878798,0.263305245671281,0.658263114178204
"age_num","continuous","Network_oriented_prevention","Multi_action_institutional",1.15636072023717,2.61600840313289,0.442032494563981,0.658465692014288,0.929901981532017
"age_num","continuous","Escalation_aware_mixed","Multi_action_institutional",1.61361163164111,2.1003718654982,0.768250450383163,0.442338405996795,0.737230676661325
"age_num","continuous","Life_threat_protective","Multi_action_institutional",1.7477172609307,2.18649592444308,0.799323356331367,0.424102939173526,0.737230676661325
"age_num","continuous","Boundary_clarification","Multi_action_institutional",3.80211622718623,2.21651204104925,1.71536005975695,0.0862792333532167,0.658263114178204
"dig","continuous","Network_oriented_prevention","Escalation_aware_mixed",-0.689765768723686,0.210805466465345,-3.27204877695655,0.00106771153702367,0.00213542307404735
"dig","continuous","Network_oriented_prevention","Life_threat_protective",-1.2229363680972,0.231592640889727,-5.28054934474149,1.287971300723e-07,7.52826737615564e-07
"dig","continuous","Escalation_aware_mixed","Life_threat_protective",-0.533170599373511,0.222910960461468,-2.39185456950949,0.0167634832859767,0.0239478332656809
"dig","continuous","Network_oriented_prevention","Boundary_clarification",-0.397224048752887,0.21909452864127,-1.81302587160117,0.0698278310994482,0.0872847888743103
