"variable","type","overall_mean","Wald","df","p_overall","Network_oriented_prevention_mean","Network_oriented_prevention_se","Escalation_aware_mixed_mean","Escalation_aware_mixed_se","Life_threat_protective_mean","Life_threat_protective_se","Boundary_clarification_mean","Boundary_clarification_se","Multi_action_institutional_mean","Multi_action_institutional_se","n_classes_clipped","p_fdr","sig"
"any_violence_education","binary",0.711,47.23,4,1.37e-09,0.604,0.057,0.669,0.038,0.831,0.037,0.618,0.046,0.92,0.035,0,4.48363636363636e-09,"***"
"college","binary",0.9,13.33,4,0.00977,0.916,0.032,0.903,0.024,0.862,0.034,0.879,0.031,0.976,0.02,0,0.0125614285714286,"*"
"digital_coharm","binary",0.158,29.22,4,7.04e-06,0.116,0.037,0.073,0.021,0.291,0.045,0.103,0.029,0.305,0.059,0,1.2978e-05,"***"
"disability","binary",0.058,34.16,4,6.9e-07,0,0,0.041,0.016,0.137,0.034,0.055,0.022,0.048,0.028,1,1.46117647058824e-06,"***"
"employed","binary",0.93,4.16,4,0.385,0.904,0.034,0.946,0.018,0.96,0.02,0.919,0.026,0.894,0.04,0,0.407647058823529,""
"female","binary",0.597,4.03,4,0.402,0.613,0.056,0.56,0.04,0.57,0.049,0.606,0.046,0.696,0.059,0,0.413485714285714,""
"gendered_case","binary",0.361,37.44,4,1.46e-07,0.611,0.057,0.307,0.037,0.204,0.04,0.38,0.046,0.419,0.064,0,3.75428571428571e-07,"***"
"intimate","binary",0.657,25.22,4,4.54e-05,0.459,0.058,0.637,0.039,0.732,0.044,0.78,0.039,0.595,0.063,0,7.65818181818182e-05,"***"
"known_nonint","binary",0.253,10.45,4,0.0335,0.329,0.054,0.28,0.036,0.184,0.039,0.186,0.037,0.333,0.061,0,0.0402,"*"
"married","binary",0.495,4.73,4,0.316,0.393,0.057,0.493,0.04,0.543,0.05,0.529,0.047,0.481,0.064,0,0.344727272727273,""
"one_person","binary",0.196,5.65,4,0.227,0.252,0.05,0.179,0.031,0.21,0.041,0.212,0.039,0.114,0.041,0,0.255375,""
"online_withdrawal","binary",0.265,58.7,4,5.43e-12,0.067,0.029,0.272,0.036,0.405,0.049,0.165,0.035,0.448,0.064,0,2.4435e-11,"***"
