"variable","type","F_anova","df1","df2","p_anova","F_welch","p_welch","KW_chisq","p_KW","eta_sq","levene_p","per_class","p_omnibus","test","chi_stat","df","cramer_V","p_main","p_fdr","sig"
"age_num","continuous",0.64,4,496,0.632,NA,NA,2.73,0.604,0.005,0.072,"Network_oriented_prevention: 42.53 (16.56, n=73); Escalation_aware_mixed: 43.01 (13.93, n=146); Life_threat_protective: 43.12 (12.84, n=96); Boundary_clarification: 45.09 (14.11, n=110); Multi_action_institutional: 42.11 (14.03, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"dig","continuous",7.25,4,496,1.12e-05,NA,NA,34.22,6.73e-07,0.055,0.0295,"Network_oriented_prevention: 0.90 (1.41, n=73); Escalation_aware_mixed: 1.54 (1.77, n=146); Life_threat_protective: 2.07 (1.73, n=96); Boundary_clarification: 1.27 (1.66, n=110); Multi_action_institutional: 2.05 (1.85, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"offcnt","continuous",7.08,4,496,1.5e-05,NA,NA,28.27,1.1e-05,0.054,0.000132,"Network_oriented_prevention: 2.48 (2.03, n=73); Escalation_aware_mixed: 3.75 (2.66, n=146); Life_threat_protective: 4.46 (2.84, n=96); Boundary_clarification: 3.42 (2.37, n=110); Multi_action_institutional: 4.28 (3.21, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"total_type_count","continuous",8.55,4,496,1.12e-06,NA,NA,35.14,4.36e-07,0.064,0.000478,"Network_oriented_prevention: 3.38 (2.98, n=73); Escalation_aware_mixed: 5.29 (4.05, n=146); Life_threat_protective: 6.53 (4.12, n=96); Boundary_clarification: 4.69 (3.67, n=110); Multi_action_institutional: 6.33 (4.70, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"coharm_count","continuous",16.86,4,496,5.66e-13,NA,NA,68.14,5.61e-14,0.12,0.0209,"Network_oriented_prevention: 1.10 (1.45, n=73); Escalation_aware_mixed: 1.38 (1.02, n=146); Life_threat_protective: 2.08 (1.30, n=96); Boundary_clarification: 1.50 (1.30, n=110); Multi_action_institutional: 2.53 (1.51, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"negative_impact_count","continuous",22.35,4,496,5.49e-17,NA,NA,71.43,1.13e-14,0.153,3.12e-08,"Network_oriented_prevention: 0.67 (0.75, n=73); Escalation_aware_mixed: 1.07 (0.58, n=146); Life_threat_protective: 1.51 (0.85, n=96); Boundary_clarification: 1.09 (0.88, n=110); Multi_action_institutional: 1.78 (1.05, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"prosocial_change_count","continuous",17.83,4,496,1.09e-13,NA,NA,63.13,6.38e-13,0.126,6.48e-05,"Network_oriented_prevention: 1.01 (1.09, n=73); Escalation_aware_mixed: 1.07 (0.81, n=146); Life_threat_protective: 1.56 (0.97, n=96); Boundary_clarification: 1.44 (1.28, n=110); Multi_action_institutional: 2.22 (1.24, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"freq_ord","continuous",3.24,4,496,0.0123,NA,NA,15.32,0.00408,0.025,0.925,"Network_oriented_prevention: 1.67 (0.80, n=73); Escalation_aware_mixed: 2.02 (0.96, n=146); Life_threat_protective: 2.07 (0.92, n=96); Boundary_clarification: 1.77 (0.85, n=110); Multi_action_institutional: 1.96 (0.99, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"victim_blaming","continuous",6.83,4,496,2.32e-05,NA,NA,30.56,3.77e-06,0.052,0.215,"Network_oriented_prevention: 1.89 (0.96, n=73); Escalation_aware_mixed: 2.57 (1.04, n=146); Life_threat_protective: 2.61 (1.10, n=96); Boundary_clarification: 2.36 (1.07, n=110); Multi_action_institutional: 2.16 (1.20, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
"crime_denial","continuous",14.49,4,496,3.36e-11,NA,NA,48.25,8.36e-10,0.105,8.7e-07,"Network_oriented_prevention: 1.58 (0.60, n=73); Escalation_aware_mixed: 2.32 (1.03, n=146); Life_threat_protective: 2.65 (1.20, n=96); Boundary_clarification: 1.92 (1.04, n=110); Multi_action_institutional: 1.91 (1.10, n=76)",NA,NA,NA,NA,NA,NA,NA,NA
