"variable","contrast","diff","lwr","upr","p_adj_Tukey"
"age_num","Escalation_aware_mixed-Network_oriented_prevention",0.479,-5.093,6.052,0.999
"age_num","Life_threat_protective-Network_oriented_prevention",0.591,-5.446,6.628,0.999
"age_num","Boundary_clarification-Network_oriented_prevention",2.557,-3.312,8.425,0.756
"age_num","Multi_action_institutional-Network_oriented_prevention",-0.429,-6.8,5.942,1
"age_num","Life_threat_protective-Escalation_aware_mixed",0.111,-4.997,5.22,1
"age_num","Boundary_clarification-Escalation_aware_mixed",2.077,-2.831,6.985,0.775
"age_num","Multi_action_institutional-Escalation_aware_mixed",-0.908,-6.407,4.59,0.991
"age_num","Boundary_clarification-Life_threat_protective",1.966,-3.464,7.396,0.859
"age_num","Multi_action_institutional-Life_threat_protective",-1.02,-6.989,4.949,0.99
"age_num","Multi_action_institutional-Boundary_clarification",-2.986,-8.784,2.813,0.622
"dig","Escalation_aware_mixed-Network_oriented_prevention",0.637,-0.032,1.306,0.0705
"dig","Life_threat_protective-Network_oriented_prevention",1.169,0.444,1.893,0.00012
"dig","Boundary_clarification-Network_oriented_prevention",0.369,-0.336,1.073,0.607
"dig","Multi_action_institutional-Network_oriented_prevention",1.149,0.384,1.913,0.00044
"dig","Life_threat_protective-Escalation_aware_mixed",0.532,-0.081,1.145,0.124
"dig","Boundary_clarification-Escalation_aware_mixed",-0.268,-0.857,0.321,0.724
"dig","Multi_action_institutional-Escalation_aware_mixed",0.512,-0.148,1.172,0.212
"dig","Boundary_clarification-Life_threat_protective",-0.8,-1.452,-0.148,0.00742
"dig","Multi_action_institutional-Life_threat_protective",-0.02,-0.737,0.696,1
"dig","Multi_action_institutional-Boundary_clarification",0.78,0.084,1.476,0.0192
"offcnt","Escalation_aware_mixed-Network_oriented_prevention",1.274,0.235,2.312,0.0075
"offcnt","Life_threat_protective-Network_oriented_prevention",1.979,0.854,3.104,1.92e-05
"offcnt","Boundary_clarification-Network_oriented_prevention",0.939,-0.155,2.032,0.131
"offcnt","Multi_action_institutional-Network_oriented_prevention",1.797,0.61,2.984,0.000386
"offcnt","Life_threat_protective-Escalation_aware_mixed",0.705,-0.247,1.657,0.254
"offcnt","Boundary_clarification-Escalation_aware_mixed",-0.335,-1.25,0.579,0.854
"offcnt","Multi_action_institutional-Escalation_aware_mixed",0.523,-0.502,1.548,0.63
"offcnt","Boundary_clarification-Life_threat_protective",-1.04,-2.052,-0.028,0.0405
"offcnt","Multi_action_institutional-Life_threat_protective",-0.182,-1.294,0.93,0.992
"offcnt","Multi_action_institutional-Boundary_clarification",0.858,-0.223,1.939,0.191
"total_type_count","Escalation_aware_mixed-Network_oriented_prevention",1.911,0.359,3.463,0.00718
"total_type_count","Life_threat_protective-Network_oriented_prevention",3.148,1.466,4.829,4.21e-06
"total_type_count","Boundary_clarification-Network_oriented_prevention",1.307,-0.327,2.942,0.185
"total_type_count","Multi_action_institutional-Network_oriented_prevention",2.945,1.171,4.72,6.75e-05
"total_type_count","Life_threat_protective-Escalation_aware_mixed",1.237,-0.186,2.659,0.122
"total_type_count","Boundary_clarification-Escalation_aware_mixed",-0.604,-1.97,0.763,0.746
"total_type_count","Multi_action_institutional-Escalation_aware_mixed",1.034,-0.497,2.566,0.346
"total_type_count","Boundary_clarification-Life_threat_protective",-1.84,-3.352,-0.328,0.0082
"total_type_count","Multi_action_institutional-Life_threat_protective",-0.202,-1.865,1.46,0.997
"total_type_count","Multi_action_institutional-Boundary_clarification",1.638,0.023,3.253,0.0449
"coharm_count","Escalation_aware_mixed-Network_oriented_prevention",0.288,-0.217,0.792,0.523
"coharm_count","Life_threat_protective-Network_oriented_prevention",0.987,0.441,1.534,1.01e-05
"coharm_count","Boundary_clarification-Network_oriented_prevention",0.404,-0.127,0.935,0.229
"coharm_count","Multi_action_institutional-Network_oriented_prevention",1.43,0.854,2.007,4.28e-10
"coharm_count","Life_threat_protective-Escalation_aware_mixed",0.7,0.238,1.162,0.000383
"coharm_count","Boundary_clarification-Escalation_aware_mixed",0.116,-0.328,0.561,0.952
"coharm_count","Multi_action_institutional-Escalation_aware_mixed",1.143,0.645,1.64,7.14e-09
"coharm_count","Boundary_clarification-Life_threat_protective",-0.583,-1.075,-0.092,0.0107
"coharm_count","Multi_action_institutional-Life_threat_protective",0.443,-0.097,0.983,0.165
"coharm_count","Multi_action_institutional-Boundary_clarification",1.026,0.502,1.551,1.3e-06
"negative_impact_count","Escalation_aware_mixed-Network_oriented_prevention",0.397,0.079,0.715,0.00608
"negative_impact_count","Life_threat_protective-Network_oriented_prevention",0.839,0.495,1.184,8.04e-10
"negative_impact_count","Boundary_clarification-Network_oriented_prevention",0.42,0.085,0.755,0.00586
"negative_impact_count","Multi_action_institutional-Network_oriented_prevention",1.105,0.742,1.469,1.15e-10
"negative_impact_count","Life_threat_protective-Escalation_aware_mixed",0.442,0.15,0.733,0.000375
"negative_impact_count","Boundary_clarification-Escalation_aware_mixed",0.022,-0.258,0.303,0.999
"negative_impact_count","Multi_action_institutional-Escalation_aware_mixed",0.708,0.394,1.022,1.39e-08
"negative_impact_count","Boundary_clarification-Life_threat_protective",-0.42,-0.729,-0.11,0.00217
"negative_impact_count","Multi_action_institutional-Life_threat_protective",0.266,-0.075,0.607,0.206
"negative_impact_count","Multi_action_institutional-Boundary_clarification",0.685,0.354,1.016,2.41e-07
"prosocial_change_count","Escalation_aware_mixed-Network_oriented_prevention",0.055,-0.364,0.473,0.996
"prosocial_change_count","Life_threat_protective-Network_oriented_prevention",0.549,0.095,1.002,0.00873
"prosocial_change_count","Boundary_clarification-Network_oriented_prevention",0.423,-0.018,0.863,0.0674
"prosocial_change_count","Multi_action_institutional-Network_oriented_prevention",1.21,0.731,1.689,2.52e-10
"prosocial_change_count","Life_threat_protective-Escalation_aware_mixed",0.494,0.11,0.878,0.00421
"prosocial_change_count","Boundary_clarification-Escalation_aware_mixed",0.368,-0.001,0.737,0.0508
"prosocial_change_count","Multi_action_institutional-Escalation_aware_mixed",1.155,0.742,1.568,1.16e-10
"prosocial_change_count","Boundary_clarification-Life_threat_protective",-0.126,-0.534,0.282,0.916
"prosocial_change_count","Multi_action_institutional-Life_threat_protective",0.661,0.213,1.11,0.000596
"prosocial_change_count","Multi_action_institutional-Boundary_clarification",0.787,0.352,1.223,1.01e-05
"freq_ord","Escalation_aware_mixed-Network_oriented_prevention",0.349,-0.008,0.707,0.0592
"freq_ord","Life_threat_protective-Network_oriented_prevention",0.402,0.014,0.789,0.0378
"freq_ord","Boundary_clarification-Network_oriented_prevention",0.101,-0.275,0.478,0.948
"freq_ord","Multi_action_institutional-Network_oriented_prevention",0.289,-0.119,0.698,0.299
"freq_ord","Life_threat_protective-Escalation_aware_mixed",0.052,-0.275,0.38,0.992
"freq_ord","Boundary_clarification-Escalation_aware_mixed",-0.248,-0.563,0.067,0.199
"freq_ord","Multi_action_institutional-Escalation_aware_mixed",-0.06,-0.413,0.293,0.99
"freq_ord","Boundary_clarification-Life_threat_protective",-0.3,-0.649,0.048,0.128
"freq_ord","Multi_action_institutional-Life_threat_protective",-0.112,-0.495,0.271,0.93
"freq_ord","Multi_action_institutional-Boundary_clarification",0.188,-0.184,0.56,0.64
"victim_blaming","Escalation_aware_mixed-Network_oriented_prevention",0.678,0.257,1.099,0.000125
"victim_blaming","Life_threat_protective-Network_oriented_prevention",0.716,0.26,1.173,0.000203
"victim_blaming","Boundary_clarification-Network_oriented_prevention",0.463,0.019,0.906,0.0362
"victim_blaming","Multi_action_institutional-Network_oriented_prevention",0.263,-0.219,0.745,0.567
"victim_blaming","Life_threat_protective-Escalation_aware_mixed",0.038,-0.348,0.424,0.999
"victim_blaming","Boundary_clarification-Escalation_aware_mixed",-0.215,-0.587,0.156,0.505
"victim_blaming","Multi_action_institutional-Escalation_aware_mixed",-0.415,-0.831,0.001,0.0505
"victim_blaming","Boundary_clarification-Life_threat_protective",-0.254,-0.664,0.157,0.441
"victim_blaming","Multi_action_institutional-Life_threat_protective",-0.453,-0.905,-0.002,0.0484
"victim_blaming","Multi_action_institutional-Boundary_clarification",-0.2,-0.638,0.239,0.724
"crime_denial","Escalation_aware_mixed-Network_oriented_prevention",0.733,0.329,1.137,9.24e-06
"crime_denial","Life_threat_protective-Network_oriented_prevention",1.065,0.627,1.502,8.32e-10
"crime_denial","Boundary_clarification-Network_oriented_prevention",0.331,-0.095,0.756,0.21
"crime_denial","Multi_action_institutional-Network_oriented_prevention",0.328,-0.134,0.79,0.296
"crime_denial","Life_threat_protective-Escalation_aware_mixed",0.332,-0.038,0.702,0.103
"crime_denial","Boundary_clarification-Escalation_aware_mixed",-0.402,-0.758,-0.046,0.0177
"crime_denial","Multi_action_institutional-Escalation_aware_mixed",-0.405,-0.804,-0.007,0.0442
"crime_denial","Boundary_clarification-Life_threat_protective",-0.734,-1.128,-0.341,4.63e-06
"crime_denial","Multi_action_institutional-Life_threat_protective",-0.737,-1.17,-0.304,3.92e-05
"crime_denial","Multi_action_institutional-Boundary_clarification",-0.003,-0.423,0.417,1
"stereotype","Escalation_aware_mixed-Network_oriented_prevention",0.144,-0.237,0.525,0.84
"stereotype","Life_threat_protective-Network_oriented_prevention",0.229,-0.185,0.642,0.553
"stereotype","Boundary_clarification-Network_oriented_prevention",0.03,-0.371,0.432,1
"stereotype","Multi_action_institutional-Network_oriented_prevention",-0.118,-0.554,0.318,0.946
"stereotype","Life_threat_protective-Escalation_aware_mixed",0.085,-0.265,0.434,0.964
"stereotype","Boundary_clarification-Escalation_aware_mixed",-0.114,-0.449,0.222,0.887
"stereotype","Multi_action_institutional-Escalation_aware_mixed",-0.262,-0.638,0.114,0.315
"stereotype","Boundary_clarification-Life_threat_protective",-0.198,-0.57,0.173,0.589
"stereotype","Multi_action_institutional-Life_threat_protective",-0.347,-0.755,0.062,0.139
"stereotype","Multi_action_institutional-Boundary_clarification",-0.149,-0.545,0.248,0.844
