"item_full","item_label","C1","C2","C3","C4","C5"
"Q40_1","Confront",0.176,0.243,0.08,0.509,0.371
"Q40_2","Persuade",0.19,0.26,0.473,0.59,0.253
"Q40_3","Job/school exit",0.099,0.289,0.261,0.11,0.256
"Q40_4","Shelter/move",0,0.13,0.341,0.125,0.167
"Q40_5","School/work help",0.053,0.107,0.255,0.058,0.241
"Q40_6","Network help",0.54,0.185,0.276,0.225,0.612
"Q40_7","Police",0.273,0.156,0.201,0.019,0.338
"Q40_8","Agency counseling",0.059,0.035,0.073,0,0.453
"Q41_1","Not romance",0.046,0,0.062,1,0.612
"Q41_2","Escalation",0.051,0.438,0.366,0.281,0.486
"Q41_3","Others harmed",0.056,0.455,0.231,0.129,0.389
"Q41_4","Life threat",0.019,0,1,0,0.318
"Q41_5","Daily disruption",0.094,0.338,0.16,0.092,0.503
"Q41_6","Prevent another harm",1,0,0,0.044,0.36
