"K","class","item","prob_yes","item_full","item_label"
2,1,"A1",0.626,"Q40_1","Confront"
2,1,"A2",0.636,"Q40_2","Persuade"
2,1,"A3",0.069,"Q40_3","Job/school exit"
2,1,"A4",0.038,"Q40_4","Shelter/move"
2,1,"A5",0,"Q40_5","School/work help"
2,1,"A6",0.195,"Q40_6","Network help"
2,1,"A7",0,"Q40_7","Police"
2,1,"A8",0,"Q40_8","Agency counseling"
2,1,"B1",1,"Q41_1","Not romance"
2,1,"B2",0.279,"Q41_2","Escalation"
2,1,"B3",0.078,"Q41_3","Others harmed"
2,1,"B4",0,"Q41_4","Life threat"
2,1,"B5",0.09,"Q41_5","Daily disruption"
2,1,"B6",0.028,"Q41_6","Prevent another harm"
2,2,"A1",0.219,"Q40_1","Confront"
2,2,"A2",0.307,"Q40_2","Persuade"
2,2,"A3",0.239,"Q40_3","Job/school exit"
2,2,"A4",0.178,"Q40_4","Shelter/move"
2,2,"A5",0.166,"Q40_5","School/work help"
2,2,"A6",0.364,"Q40_6","Network help"
2,2,"A7",0.218,"Q40_7","Police"
2,2,"A8",0.133,"Q40_8","Agency counseling"
2,2,"B1",0.219,"Q41_1","Not romance"
2,2,"B2",0.355,"Q41_2","Escalation"
2,2,"B3",0.31,"Q41_3","Others harmed"
2,2,"B4",0.289,"Q41_4","Life threat"
2,2,"B5",0.275,"Q41_5","Daily disruption"
2,2,"B6",0.253,"Q41_6","Prevent another harm"
3,1,"A1",0.199,"Q40_1","Confront"
3,1,"A2",0.172,"Q40_2","Persuade"
3,1,"A3",0.073,"Q40_3","Job/school exit"
3,1,"A4",0,"Q40_4","Shelter/move"
3,1,"A5",0.061,"Q40_5","School/work help"
3,1,"A6",0.565,"Q40_6","Network help"
3,1,"A7",0.283,"Q40_7","Police"
3,1,"A8",0.098,"Q40_8","Agency counseling"
3,1,"B1",0.131,"Q41_1","Not romance"
3,1,"B2",0.08,"Q41_2","Escalation"
3,1,"B3",0.061,"Q41_3","Others harmed"
3,1,"B4",0.01,"Q41_4","Life threat"
3,1,"B5",0.092,"Q41_5","Daily disruption"
3,1,"B6",1,"Q41_6","Prevent another harm"
3,2,"A1",0.604,"Q40_1","Confront"
3,2,"A2",0.598,"Q40_2","Persuade"
3,2,"A3",0.048,"Q40_3","Job/school exit"
3,2,"A4",0,"Q40_4","Shelter/move"
3,2,"A5",0,"Q40_5","School/work help"
3,2,"A6",0.23,"Q40_6","Network help"
3,2,"A7",0,"Q40_7","Police"
3,2,"A8",0.003,"Q40_8","Agency counseling"
3,2,"B1",1,"Q41_1","Not romance"
3,2,"B2",0.245,"Q41_2","Escalation"
3,2,"B3",0.039,"Q41_3","Others harmed"
3,2,"B4",0,"Q41_4","Life threat"
3,2,"B5",0.087,"Q41_5","Daily disruption"
3,2,"B6",0.024,"Q41_6","Prevent another harm"
3,3,"A1",0.23,"Q40_1","Confront"
3,3,"A2",0.346,"Q40_2","Persuade"
3,3,"A3",0.278,"Q40_3","Job/school exit"
3,3,"A4",0.224,"Q40_4","Shelter/move"
3,3,"A5",0.188,"Q40_5","School/work help"
3,3,"A6",0.313,"Q40_6","Network help"
3,3,"A7",0.204,"Q40_7","Police"
3,3,"A8",0.139,"Q40_8","Agency counseling"
3,3,"B1",0.241,"Q41_1","Not romance"
3,3,"B2",0.422,"Q41_2","Escalation"
3,3,"B3",0.371,"Q41_3","Others harmed"
3,3,"B4",0.348,"Q41_4","Life threat"
3,3,"B5",0.314,"Q41_5","Daily disruption"
3,3,"B6",0.094,"Q41_6","Prevent another harm"
4,1,"A1",0.182,"Q40_1","Confront"
4,1,"A2",0.35,"Q40_2","Persuade"
4,1,"A3",0.28,"Q40_3","Job/school exit"
4,1,"A4",0.224,"Q40_4","Shelter/move"
4,1,"A5",0.175,"Q40_5","School/work help"
4,1,"A6",0.233,"Q40_6","Network help"
4,1,"A7",0.176,"Q40_7","Police"
4,1,"A8",0.048,"Q40_8","Agency counseling"
4,1,"B1",0.113,"Q41_1","Not romance"
4,1,"B2",0.402,"Q41_2","Escalation"
4,1,"B3",0.369,"Q41_3","Others harmed"
4,1,"B4",0.368,"Q41_4","Life threat"
4,1,"B5",0.258,"Q41_5","Daily disruption"
4,1,"B6",0,"Q41_6","Prevent another harm"
4,2,"A1",0.18,"Q40_1","Confront"
4,2,"A2",0.186,"Q40_2","Persuade"
4,2,"A3",0.098,"Q40_3","Job/school exit"
4,2,"A4",0,"Q40_4","Shelter/move"
4,2,"A5",0.052,"Q40_5","School/work help"
4,2,"A6",0.542,"Q40_6","Network help"
4,2,"A7",0.277,"Q40_7","Police"
4,2,"A8",0.059,"Q40_8","Agency counseling"
4,2,"B1",0.056,"Q41_1","Not romance"
4,2,"B2",0.055,"Q41_2","Escalation"
4,2,"B3",0.059,"Q41_3","Others harmed"
4,2,"B4",0.019,"Q41_4","Life threat"
4,2,"B5",0.097,"Q41_5","Daily disruption"
4,2,"B6",1,"Q41_6","Prevent another harm"
