"item1","item2","label1","label2","n_pair","bvr_chisq","p_value","max_abs_std_resid","p_fdr_BH","flag_bvr_gt_3_84"
"Q40_2","Q41_2","Persuade","Escalation",501,17.9512876208038,2.26631054472346e-05,2.75085783626335,0.00206234259569834,TRUE
"Q40_3","Q41_3","Job/school exit","Others harmed",501,13.3642884311934,0.00025646119894718,2.61998947166864,0.0116689845520967,TRUE
"Q41_2","Q41_5","Escalation","Daily disruption",501,9.95386082789387,0.00160512418698177,2.07146897847143,0.0486887670051135,TRUE
"Q41_3","Q41_5","Others harmed","Daily disruption",501,8.05036783738493,0.00454944161547063,1.92824025402985,0.082019348386125,TRUE
"Q40_7","Q41_2","Police","Escalation",501,7.83216609876922,0.00513245566295618,2.0350312278057,0.082019348386125,TRUE
"Q40_1","Q41_2","Confront","Escalation",501,7.73773165097367,0.00540786912435989,1.89579581041465,0.082019348386125,TRUE
"Q40_4","Q41_3","Shelter/move","Others harmed",501,7.36237483105227,0.00666027664175067,2.08480977242686,0.0865835963427587,TRUE
"Q40_5","Q41_3","School/work help","Others harmed",501,7.04856098364697,0.00793289560785951,2.04050467763432,0.090236687539402,TRUE
"Q40_2","Q40_3","Persuade","Job/school exit",501,5.24669870096658,0.0219884501726095,1.6673485809468,0.222327662856384,TRUE
"Q40_4","Q40_6","Shelter/move","Network help",501,4.70197547223692,0.0301279692567043,1.65784259198402,0.274164520236009,TRUE
"Q40_4","Q41_5","Shelter/move","Daily disruption",501,4.13333884478342,0.042046315449657,1.60998787283987,0.347837700538071,TRUE
"Q40_3","Q40_7","Job/school exit","Police",501,3.69533523621288,0.0545648163012089,1.51886590132297,0.385260365467191,FALSE
"Q40_2","Q40_5","Persuade","School/work help",501,3.6809587185218,0.0550371950667416,1.43056179572067,0.385260365467191,FALSE
"Q40_5","Q41_5","School/work help","Daily disruption",501,3.48264330911878,0.0620156048146203,1.44558641078732,0.403101431295032,FALSE
"Q40_1","Q40_6","Confront","Network help",501,3.33554118118227,0.0677980997938802,1.26062430165922,0.411308472082873,FALSE
"Q40_3","Q40_6","Job/school exit","Network help",501,3.05607024974685,0.0804359859473246,1.2784907883496,0.457479670075408,FALSE
"Q40_8","Q41_5","Agency counseling","Daily disruption",501,2.81870940830372,0.0931712908378107,1.18520875574208,0.498740439190634,FALSE
