"class5","class5_label","n","distal","mean_or_prop"
"C1","Network-oriented prevention responders",73,"role_confront_top2",0.150684931506849
"C1","Network-oriented prevention responders",73,"role_police_top2",0.452054794520548
"C1","Network-oriented prevention responders",73,"role_schoolwork_top2",0.287671232876712
"C1","Network-oriented prevention responders",73,"role_network_top2",0.328767123287671
"C1","Network-oriented prevention responders",73,"role_agency_info_top2",0.136986301369863
"C1","Network-oriented prevention responders",73,"role_punishment_top2",0.246575342465753
"C1","Network-oriented prevention responders",73,"role_victim_support_top2",0.397260273972603
"C1","Network-oriented prevention responders",73,"edu_legal_top2",0.383561643835616
"C1","Network-oriented prevention responders",73,"edu_schoolwork_top2",0.424657534246575
"C1","Network-oriented prevention responders",73,"edu_help_info_top2",0.561643835616438
"C1","Network-oriented prevention responders",73,"edu_humanrights_top2",0.273972602739726
"C1","Network-oriented prevention responders",73,"edu_bystander_role_top2",0.356164383561644
"C1","Network-oriented prevention responders",73,"seoul_service_use_count",3.53424657534247
"C1","Network-oriented prevention responders",73,"seoul_service_use_any",0.726027397260274
"C1","Network-oriented prevention responders",73,"seoul_digital_center_yes",0.575342465753425
"C1","Network-oriented prevention responders",73,"support_service_use_count",3.86301369863014
"C1","Network-oriented prevention responders",73,"support_service_use_any",0.684931506849315
"C1","Network-oriented prevention responders",73,"support_digital_center_yes",0.575342465753425
"C1","Network-oriented prevention responders",73,"policy_police_protection_top3",0.671232876712329
"C1","Network-oriented prevention responders",73,"policy_punishment_top3",0.726027397260274
"C1","Network-oriented prevention responders",73,"policy_perp_treatment_top3",0.219178082191781
"C1","Network-oriented prevention responders",73,"policy_secondary_harm_top3",0.205479452054795
"C1","Network-oriented prevention responders",73,"policy_victim_support_top3",0.287671232876712
"C1","Network-oriented prevention responders",73,"policy_online_delete_top3",0.0821917808219178
"C1","Network-oriented prevention responders",73,"policy_school_education_top3",0.191780821917808
"C1","Network-oriented prevention responders",73,"policy_workplace_protocol_top3",0.26027397260274
"C1","Network-oriented prevention responders",73,"policy_safe_environment_top3",0.26027397260274
"C1","Network-oriented prevention responders",73,"policy_public_campaign_top3",0.0958904109589041
"C2","Escalation-aware mixed responders",146,"role_confront_top2",0.171232876712329
"C2","Escalation-aware mixed responders",146,"role_police_top2",0.36986301369863
"C2","Escalation-aware mixed responders",146,"role_schoolwork_top2",0.404109589041096
"C2","Escalation-aware mixed responders",146,"role_network_top2",0.458904109589041
"C2","Escalation-aware mixed responders",146,"role_agency_info_top2",0.23972602739726
