"K","class","n","proportion"
2,1,121,0.241516966067864
2,2,380,0.758483033932136
3,1,97,0.193612774451098
3,2,314,0.626746506986028
3,3,90,0.179640718562874
4,1,92,0.183632734530938
4,2,169,0.337325349301397
4,3,77,0.153692614770459
4,4,163,0.325349301397206
5,1,12,0.0239520958083832
5,2,99,0.197604790419162
5,3,121,0.241516966067864
5,4,113,0.225548902195609
5,5,156,0.311377245508982
6,1,94,0.187624750499002
6,2,109,0.217564870259481
6,3,132,0.263473053892216
6,4,15,0.029940119760479
6,5,50,0.0998003992015968
6,6,101,0.201596806387226
