"K","class","n","proportion"
2,1,85,0.169660678642715
2,2,416,0.830339321357285
3,1,130,0.259481037924152
3,2,102,0.203592814371257
3,3,269,0.536926147704591
4,1,120,0.239520958083832
4,2,205,0.409181636726547
4,3,43,0.0858283433133733
4,4,133,0.265469061876248
5,1,158,0.315369261477046
5,2,42,0.0838323353293413
5,3,74,0.147704590818363
5,4,124,0.24750499001996
5,5,103,0.205588822355289
6,1,37,0.0738522954091816
6,2,81,0.161676646706587
6,3,51,0.101796407185629
6,4,121,0.241516966067864
6,5,78,0.155688622754491
6,6,133,0.265469061876248
