"K","class","item","prob_yes","item_full","item_label"
2,1,"a1",0.643,"Q40_1","Confront"
2,1,"a2",0.617,"Q40_2","Persuade"
2,1,"a3",0.098,"Q40_3","Job/school exit"
2,1,"a4",0.056,"Q40_4","Shelter/move"
2,1,"a5",0,"Q40_5","School/work help"
2,1,"a6",0.172,"Q40_6","Network help"
2,1,"a7",0,"Q40_7","Police"
2,1,"a8",0,"Q40_8","Agency counseling"
2,1,"b1",0.854,"Q41_1","Not romance"
2,1,"b4",0,"Q41_4","Life threat"
2,1,"b5",0.084,"Q41_5","Daily disruption"
2,1,"b6",0.045,"Q41_6","Prevent another harm"
2,2,"a1",0.199,"Q40_1","Confront"
2,2,"a2",0.299,"Q40_2","Persuade"
2,2,"a3",0.238,"Q40_3","Job/school exit"
2,2,"a4",0.179,"Q40_4","Shelter/move"
2,2,"a5",0.172,"Q40_5","School/work help"
2,2,"a6",0.376,"Q40_6","Network help"
2,2,"a7",0.227,"Q40_7","Police"
2,2,"a8",0.138,"Q40_8","Agency counseling"
2,2,"b1",0.224,"Q41_1","Not romance"
2,2,"b4",0.3,"Q41_4","Life threat"
2,2,"b5",0.283,"Q41_5","Daily disruption"
2,2,"b6",0.258,"Q41_6","Prevent another harm"
3,1,"a1",0.244,"Q40_1","Confront"
3,1,"a2",0.129,"Q40_2","Persuade"
3,1,"a3",0.06,"Q40_3","Job/school exit"
3,1,"a4",0,"Q40_4","Shelter/move"
3,1,"a5",0.077,"Q40_5","School/work help"
3,1,"a6",0.581,"Q40_6","Network help"
3,1,"a7",0.326,"Q40_7","Police"
3,1,"a8",0.128,"Q40_8","Agency counseling"
3,1,"b1",0.243,"Q41_1","Not romance"
3,1,"b4",0.016,"Q41_4","Life threat"
3,1,"b5",0.164,"Q41_5","Daily disruption"
3,1,"b6",0.644,"Q41_6","Prevent another harm"
3,2,"a1",0.62,"Q40_1","Confront"
3,2,"a2",0.599,"Q40_2","Persuade"
3,2,"a3",0.11,"Q40_3","Job/school exit"
3,2,"a4",0.062,"Q40_4","Shelter/move"
3,2,"a5",0,"Q40_5","School/work help"
3,2,"a6",0.168,"Q40_6","Network help"
3,2,"a7",0,"Q40_7","Police"
3,2,"a8",0,"Q40_8","Agency counseling"
3,2,"b1",0.791,"Q41_1","Not romance"
3,2,"b4",0,"Q41_4","Life threat"
3,2,"b5",0.09,"Q41_5","Daily disruption"
3,2,"b6",0.048,"Q41_6","Prevent another harm"
3,3,"a1",0.168,"Q40_1","Confront"
3,3,"a2",0.369,"Q40_2","Persuade"
3,3,"a3",0.321,"Q40_3","Job/school exit"
3,3,"a4",0.263,"Q40_4","Shelter/move"
3,3,"a5",0.223,"Q40_5","School/work help"
3,3,"a6",0.293,"Q40_6","Network help"
3,3,"a7",0.192,"Q40_7","Police"
3,3,"a8",0.148,"Q40_8","Agency counseling"
3,3,"b1",0.212,"Q41_1","Not romance"
3,3,"b4",0.443,"Q41_4","Life threat"
3,3,"b5",0.344,"Q41_5","Daily disruption"
3,3,"b6",0.091,"Q41_6","Prevent another harm"
4,1,"a1",0.577,"Q40_1","Confront"
4,1,"a2",0.603,"Q40_2","Persuade"
4,1,"a3",0.117,"Q40_3","Job/school exit"
4,1,"a4",0.096,"Q40_4","Shelter/move"
4,1,"a5",0.027,"Q40_5","School/work help"
4,1,"a6",0.182,"Q40_6","Network help"
4,1,"a7",0.004,"Q40_7","Police"
4,1,"a8",0,"Q40_8","Agency counseling"
4,1,"b1",0.839,"Q41_1","Not romance"
4,1,"b4",0,"Q41_4","Life threat"
4,1,"b5",0.097,"Q41_5","Daily disruption"
4,1,"b6",0.05,"Q41_6","Prevent another harm"
4,2,"a1",0.117,"Q40_1","Confront"
4,2,"a2",0.385,"Q40_2","Persuade"
4,2,"a3",0.315,"Q40_3","Job/school exit"
4,2,"a4",0.279,"Q40_4","Shelter/move"
4,2,"a5",0.218,"Q40_5","School/work help"
4,2,"a6",0.197,"Q40_6","Network help"
4,2,"a7",0.167,"Q40_7","Police"
4,2,"a8",0.057,"Q40_8","Agency counseling"
4,2,"b1",0.093,"Q41_1","Not romance"
4,2,"b4",0.486,"Q41_4","Life threat"
4,2,"b5",0.28,"Q41_5","Daily disruption"
4,2,"b6",0,"Q41_6","Prevent another harm"
4,3,"a1",0.397,"Q40_1","Confront"
4,3,"a2",0.345,"Q40_2","Persuade"
4,3,"a3",0.364,"Q40_3","Job/school exit"
4,3,"a4",0.25,"Q40_4","Shelter/move"
4,3,"a5",0.354,"Q40_5","School/work help"
4,3,"a6",0.65,"Q40_6","Network help"
4,3,"a7",0.309,"Q40_7","Police"
4,3,"a8",0.626,"Q40_8","Agency counseling"
4,3,"b1",0.64,"Q41_1","Not romance"
4,3,"b4",0.484,"Q41_4","Life threat"
4,3,"b5",0.713,"Q41_5","Daily disruption"
4,3,"b6",0.326,"Q41_6","Prevent another harm"
4,4,"a1",0.241,"Q40_1","Confront"
4,4,"a2",0.15,"Q40_2","Persuade"
4,4,"a3",0.104,"Q40_3","Job/school exit"
4,4,"a4",0.015,"Q40_4","Shelter/move"
4,4,"a5",0.059,"Q40_5","School/work help"
4,4,"a6",0.535,"Q40_6","Network help"
4,4,"a7",0.301,"Q40_7","Police"
4,4,"a8",0.108,"Q40_8","Agency counseling"
4,4,"b1",0.2,"Q41_1","Not romance"
4,4,"b4",0.045,"Q41_4","Life threat"
4,4,"b5",0.17,"Q41_5","Daily disruption"
4,4,"b6",0.585,"Q41_6","Prevent another harm"
5,1,"a1",0.248,"Q40_1","Confront"
5,1,"a2",0.149,"Q40_2","Persuade"
5,1,"a3",0.087,"Q40_3","Job/school exit"
5,1,"a4",0.015,"Q40_4","Shelter/move"
5,1,"a5",0.063,"Q40_5","School/work help"
5,1,"a6",0.552,"Q40_6","Network help"
5,1,"a7",0.293,"Q40_7","Police"
5,1,"a8",0.111,"Q40_8","Agency counseling"
5,1,"b1",0.222,"Q41_1","Not romance"
5,1,"b4",0.051,"Q41_4","Life threat"
5,1,"b5",0.164,"Q41_5","Daily disruption"
5,1,"b6",0.574,"Q41_6","Prevent another harm"
5,2,"a1",0.362,"Q40_1","Confront"
5,2,"a2",0.41,"Q40_2","Persuade"
5,2,"a3",0.386,"Q40_3","Job/school exit"
5,2,"a4",0.285,"Q40_4","Shelter/move"
5,2,"a5",0.412,"Q40_5","School/work help"
5,2,"a6",0.662,"Q40_6","Network help"
5,2,"a7",0.291,"Q40_7","Police"
5,2,"a8",0.627,"Q40_8","Agency counseling"
5,2,"b1",0.572,"Q41_1","Not romance"
5,2,"b4",0.563,"Q41_4","Life threat"
