"sample","block","variable","N","missing_n","missing_pct","nonmissing_n"
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","q42_police",749,248,33.11,501
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","active_response",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","age_cat",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","cjs_distrust_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","college",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","crime_denial_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","dig",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","disability",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","employed",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","fear_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","female",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","freq_ord_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","gender_awareness_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","gender_hierarchy_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","gendered_case",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","institutional_response",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","intimate",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","known_nonint",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","married",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","offcnt",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","one_person",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","online_withdrawal",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","own_victim",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","q40_police",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","region",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","seoul_policy_awareness_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","severe_coharm",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","stedu",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","stereotype_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","support_awareness_z",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","threat",749,0,0,749
"Witnesses (N=749)","Stage 1 logistic outcomes/covariates","victim_blaming_z",749,0,0,749
"Active responders (N=501)","Stage 2 LCA indicators","Q40_1",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_2",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_3",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_4",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_5",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_6",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_7",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q40_8",501,0,0,501
"Active responders (N=501)","Stage 2 LCA indicators","Q41_1",501,0,0,501
