"Class_label","active_class_n","nonreport_n","nonreport_pct_of_active_class","domain","n_nonreport_valid","n_yes","prop_yes"
"C1 Network-oriented prevention responders",73,47,64.4,"discouraged/victim wish",47,8,0.17
"C2 Escalation-aware mixed responders",146,103,70.5,"discouraged/victim wish",103,11,0.107
"C3 Life-threat protective responders",96,47,49,"discouraged/victim wish",47,6,0.128
"C4 Boundary-clarification persuaders",110,96,87.3,"discouraged/victim wish",96,28,0.292
"C5 Multi-action institutional responders",76,40,52.6,"discouraged/victim wish",40,12,0.3
"C1 Network-oriented prevention responders",73,47,64.4,"privacy/retaliation",47,5,0.106
"C2 Escalation-aware mixed responders",146,103,70.5,"privacy/retaliation",103,43,0.417
"C3 Life-threat protective responders",96,47,49,"privacy/retaliation",47,27,0.574
"C4 Boundary-clarification persuaders",110,96,87.3,"privacy/retaliation",96,29,0.302
"C5 Multi-action institutional responders",76,40,52.6,"privacy/retaliation",40,20,0.5
"C1 Network-oriented prevention responders",73,47,64.4,"evidence/legal risk",47,9,0.191
"C2 Escalation-aware mixed responders",146,103,70.5,"evidence/legal risk",103,23,0.223
"C3 Life-threat protective responders",96,47,49,"evidence/legal risk",47,18,0.383
"C4 Boundary-clarification persuaders",110,96,87.3,"evidence/legal risk",96,21,0.219
"C5 Multi-action institutional responders",76,40,52.6,"evidence/legal risk",40,21,0.525
"C1 Network-oriented prevention responders",73,47,64.4,"institutional distrust",47,13,0.277
"C2 Escalation-aware mixed responders",146,103,70.5,"institutional distrust",103,24,0.233
"C3 Life-threat protective responders",96,47,49,"institutional distrust",47,10,0.213
"C4 Boundary-clarification persuaders",110,96,87.3,"institutional distrust",96,25,0.26
"C5 Multi-action institutional responders",76,40,52.6,"institutional distrust",40,19,0.475
"C1 Network-oriented prevention responders",73,47,64.4,"minimization",47,23,0.489
"C2 Escalation-aware mixed responders",146,103,70.5,"minimization",103,24,0.233
"C3 Life-threat protective responders",96,47,49,"minimization",47,11,0.234
"C4 Boundary-clarification persuaders",110,96,87.3,"minimization",96,32,0.333
"C5 Multi-action institutional responders",76,40,52.6,"minimization",40,10,0.25
"C1 Network-oriented prevention responders",73,47,64.4,"other",47,1,0.021
"C2 Escalation-aware mixed responders",146,103,70.5,"other",103,3,0.029
"C3 Life-threat protective responders",96,47,49,"other",47,0,0
"C4 Boundary-clarification persuaders",110,96,87.3,"other",96,2,0.021
"C5 Multi-action institutional responders",76,40,52.6,"other",40,2,0.05
