"variable","type","C4_n","C4_value","C5_n","C5_value","contrast","contrast_value","p_value","p_FDR"
"institutional_response","binary",110,0.073,76,0.776,"C5 vs C4 OR",41,4.25e-24,7.22e-23
"q40_police","binary",110,0.009,76,0.355,"C5 vs C4 OR",40.556,2.34e-11,1.99e-10
"q42_police","binary",110,0.127,76,0.474,"C5 vs C4 OR",5.998,2.43e-07,1.38e-06
"severe_coharm","binary",110,0.418,76,0.737,"C5 vs C4 OR",3.823,2.32e-05,9.88e-05
"online_withdrawal","binary",110,0.173,76,0.382,"C5 vs C4 OR",2.914,0.00201,0.00683
"role_police_top2","binary",110,0.545,76,0.329,"C5 vs C4 OR",0.413,0.00441,0.0107
"stedu","binary",110,0.509,76,0.711,"C5 vs C4 OR",2.336,0.00655,0.0135
"digital_coharm","binary",110,0.109,76,0.25,"C5 vs C4 OR",2.672,0.0157,0.0243
"intimate","binary",110,0.773,76,0.618,"C5 vs C4 OR",0.48,0.0322,0.0456
"known_nonint","binary",110,0.191,76,0.303,"C5 vs C4 OR",1.829,0.0828,0.0938
"dig","continuous",110,1.273,76,2.053,"C5 minus C4 mean",0.78,0.00377,0.0107
"seoul_policy_awareness","continuous",110,1.691,76,2.487,"C5 minus C4 mean",0.796,0.00716,0.0135
"total_type_count","continuous",110,4.691,76,6.329,"C5 minus C4 mean",1.638,0.0119,0.0202
"offcnt","continuous",110,3.418,76,4.276,"C5 minus C4 mean",0.858,0.0491,0.0596
"support_awareness","continuous",110,2.855,76,3.553,"C5 minus C4 mean",0.698,0.0458,0.0596
"fear","continuous",110,3.543,76,3.697,"C5 minus C4 mean",0.155,0.157,0.166
"crime_denial","continuous",110,1.915,76,1.912,"C5 minus C4 mean",-0.003,0.986,0.986
